Date,Open,Close,open_bin,high_bin,low_bin,close_bin,volume_bin,rsi_3_bin,rsi_5_bin,rsi_7_bin,rsi_10_bin,rsi_14_bin,stoch_k_bin,stoch_d_bin,macd_bin,macd_signal_bin,macd_hist_bin,sma_5_bin,sma_10_bin,sma_20_bin,sma_50_bin,ema_5_bin,ema_12_bin,ema_26_bin,bb_upper_bin,bb_lower_bin,bb_middle_bin,atr_14_bin,williams_r_bin,cci_20_bin,obv_bin,adx_bin,di_plus_bin,di_minus_bin,price_change_pct_bin,volume_sma_20_bin,price_sma_20_diff_bin,price_ema_12_diff_bin
2015-11-16,18.120001,18.200001,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q2,Q3,Q3,Q1,Q2,Q3,Q3,Q4,Q3,Q3,Q4,Q1,Q1,Q1,Q2,Q1,Q4,Q2,Q2,Q1,Q1
2015-11-17,18.610001,18.82,Q1,Q2,Q2,Q2,Q4,Q3,Q2,Q1,Q1,Q2,Q2,Q1,Q2,Q2,Q1,Q1,Q2,Q3,Q1,Q2,Q2,Q3,Q4,Q3,Q3,Q4,Q2,Q2,Q1,Q1,Q2,Q3,Q4,Q2,Q2,Q1
2015-11-18,18.85,18.32,Q2,Q1,Q1,Q1,Q3,Q2,Q2,Q1,Q1,Q2,Q1,Q1,Q1,Q2,Q1,Q1,Q2,Q3,Q1,Q1,Q2,Q3,Q4,Q2,Q3,Q4,Q1,Q2,Q1,Q2,Q2,Q4,Q1,Q2,Q1,Q1
2015-11-19,18.530001,18.790001,Q1,Q1,Q1,Q2,Q4,Q4,Q2,Q2,Q1,Q2,Q2,Q2,Q1,Q2,Q1,Q1,Q2,Q3,Q1,Q1,Q2,Q3,Q4,Q2,Q3,Q4,Q2,Q2,Q2,Q2,Q2,Q3,Q4,Q2,Q2,Q2
2015-11-20,18.83,18.790001,Q2,Q1,Q2,Q2,Q2,Q3,Q3,Q2,Q1,Q2,Q2,Q2,Q1,Q2,Q1,Q1,Q2,Q3,Q1,Q1,Q2,Q3,Q4,Q2,Q3,Q4,Q2,Q3,Q2,Q2,Q3,Q3,Q3,Q2,Q2,Q2
2015-11-23,19.01,18.93,Q2,Q2,Q2,Q2,Q2,Q4,Q4,Q3,Q1,Q2,Q3,Q2,Q1,Q2,Q1,Q2,Q2,Q3,Q1,Q2,Q2,Q2,Q4,Q2,Q3,Q4,Q3,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q3,Q2
2015-11-24,18.889999,18.6,Q2,Q2,Q2,Q1,Q2,Q2,Q2,Q3,Q2,Q1,Q2,Q2,Q1,Q2,Q1,Q2,Q1,Q2,Q1,Q2,Q2,Q2,Q3,Q2,Q2,Q3,Q2,Q3,Q2,Q3,Q1,Q4,Q2,Q2,Q2,Q2
2015-11-25,18.59,18.530001,Q1,Q1,Q1,Q1,Q2,Q2,Q3,Q4,Q2,Q1,Q2,Q2,Q1,Q2,Q1,Q2,Q1,Q2,Q1,Q1,Q1,Q2,Q3,Q1,Q2,Q3,Q2,Q2,Q1,Q3,Q1,Q4,Q2,Q3,Q2,Q2
2015-11-26,18.75,19.059999,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q2,Q3,Q2,Q2,Q1,Q2,Q2,Q1,Q2,Q1,Q2,Q2,Q2,Q3,Q1,Q2,Q2,Q3,Q4,Q2,Q4,Q1,Q3,Q4,Q3,Q4,Q3
2015-11-27,19.1,18.629999,Q2,Q2,Q2,Q1,Q2,Q3,Q2,Q4,Q3,Q1,Q3,Q3,Q1,Q1,Q2,Q2,Q1,Q2,Q1,Q2,Q1,Q2,Q3,Q1,Q2,Q1,Q3,Q3,Q2,Q4,Q1,Q2,Q1,Q3,Q3,Q2
2015-11-30,18.23,18.09,Q1,Q1,Q1,Q1,Q4,Q2,Q1,Q1,Q3,Q1,Q1,Q3,Q1,Q1,Q2,Q1,Q1,Q2,Q1,Q1,Q1,Q2,Q2,Q1,Q2,Q3,Q1,Q2,Q1,Q4,Q1,Q3,Q1,Q3,Q1,Q1
2015-12-01,18.450001,18.76,Q1,Q1,Q1,Q2,Q4,Q2,Q3,Q2,Q3,Q3,Q4,Q3,Q1,Q1,Q2,Q1,Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Q3,Q4,Q3,Q1,Q4,Q3,Q2,Q4,Q3,Q3,Q3
2015-12-02,18.82,18.84,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q2,Q4,Q3,Q4,Q3,Q2,Q1,Q2,Q2,Q2,Q2,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Q3,Q4,Q4,Q2,Q4,Q4,Q2,Q3,Q3,Q4,Q3
2015-12-03,18.65,18.9,Q1,Q2,Q2,Q2,Q2,Q4,Q2,Q3,Q3,Q4,Q4,Q4,Q2,Q1,Q3,Q1,Q2,Q1,Q1,Q2,Q1,Q1,Q1,Q2,Q1,Q2,Q4,Q4,Q2,Q3,Q4,Q2,Q3,Q4,Q4,Q3
2015-12-04,18.6,18.549999,Q1,Q1,Q1,Q1,Q3,Q2,Q2,Q3,Q3,Q4,Q3,Q4,Q2,Q1,Q3,Q1,Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q3,Q1,Q2,Q3,Q2,Q2,Q3,Q4,Q1,Q1,Q4,Q3,Q2
