日期,動作,價格,股數,金額,手續費,買入機率,賣出機率
2020-01-30,BUY,48.849998,20441,998542.809118,1422.9235029931501,0.9965999999999999,0.001
2020-03-09,SELL,43.790001,20441,895111.4104409999,1275.533759878425,0.0001,0.9998
2020-03-13,BUY,37.029999,24104,892571.0958959999,1271.9138116518,0.9979,0.002
2020-05-06,SELL,42.900002,24104,1034061.648208,1473.5378486964,0.0,0.7423000000000001
2020-05-18,BUY,44.299999,23276,1031126.776724,1469.3556568317001,1.0,0.0
2020-06-19,SELL,49.869999,23276,1160774.096724,1654.1030878317001,0.006,0.9255
2020-06-29,BUY,50.450001,22943,1157474.372943,1649.400981443775,0.7268000000000001,0.2706
2020-06-30,SELL,50.950001,22943,1168945.872943,1665.747868943775,0.0166,0.7418
2020-08-03,BUY,62.950001,18516,1165582.218516,1660.9546613853001,0.98,0.0
2020-08-18,SELL,66.699997,18516,1235017.144452,1759.8994308441002,0.0,0.7663
2020-08-20,BUY,62.700001,19642,1231553.419642,1754.9636229898501,0.9994,0.0
2020-08-24,SELL,64.5,19642,1266909.0,1805.345325,0.37189999999999995,0.42
2020-08-31,BUY,63.650002,19847,1263261.589694,1800.1477653139502,0.9954000000000001,0.003
2020-09-01,SELL,65.25,19847,1295016.75,1845.39886875,0.2187,0.7611
2020-09-04,BUY,64.099998,20146,1291358.559708,1840.1859475838999,0.9965999999999999,0.0029
2020-09-08,SELL,62.799999,20146,1265168.779854,1802.8655112919503,0.20309999999999997,0.6592
2020-09-09,BUY,64.099998,19681,1261552.060638,1797.7116864091502,0.9974,0.0001
2020-09-17,SELL,66.75,19681,1313706.75,1872.03211875,0.0,0.9990000000000001
2020-09-22,BUY,63.900002,20500,1309950.041,1866.678808425,0.9623999999999999,0.0373
2020-11-26,SELL,78.349998,20500,1606174.959,2288.799316575,0.0,0.9406
2020-12-14,BUY,82.800003,19343,1601600.458029,2282.280652691325,0.9908,0.0
2021-01-20,SELL,106.349998,19343,2057128.011314,2931.4074161224503,0.0001,0.8975
2021-01-28,BUY,102.400002,20032,2051276.840064,2923.0694970912004,0.8722,0.1235
2021-02-03,SELL,103.949997,20032,2082326.3399039998,2967.3150343631996,0.2261,0.7544
2021-02-04,BUY,106.099998,19570,2076376.96086,2958.8371692255,0.9598,0.0369
2021-02-05,SELL,112.199997,19570,2195753.94129,3128.94936633825,0.0005,0.9984000000000001
2021-02-26,BUY,111.550003,19628,2189503.458884,3120.0424289097,0.9986,0.0
2021-04-14,SELL,120.650002,19628,2368118.239256,3374.5684909398005,0.0043,0.6585
2021-05-05,BUY,121.199997,19483,2361339.541551,3364.908846710175,0.9832,0.0127
2021-05-10,SELL,120.099998,19483,2339908.261034,3334.3692719734504,0.0378,0.7148
2021-05-11,BUY,114.5,20378,2333281.0,3324.925425,0.9995999999999999,0.0002
2021-06-18,SELL,124.75,20378,2542155.5,3622.5715875,0.0059,0.6712
2021-06-21,BUY,124.300003,20394,2534974.261182,3612.33832218435,0.9293,0.016399999999999998
2021-06-23,SELL,127.0,20394,2590038.0,3690.80415,0.0129,0.6466
2021-07-26,BUY,129.100006,20005,2582645.6200300003,3680.2700085427505,0.7568,0.2412
2021-08-03,SELL,132.75,20005,2655663.75,3784.32084375,0.0034999999999999996,0.7614
2021-08-11,BUY,128.050003,20680,2648074.06204,3773.5055384070006,0.6084,0.2034
2021-09-15,SELL,132.699997,20680,2744235.93796,3910.5362115929997,0.0,0.6923
2021-09-22,BUY,127.650002,21437,2736433.092874,3899.41715734545,0.8362999999999999,0.159
